Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
UX2023	UX2023-66	+	2	4/12/2022	0		Kinston	90	165
UX2023	UX2023-124	+	2	4/12/2022	0		Kinston	95	165
UX2023	UX2023-91	+	3	3/30/2022	1		Kinston	75	152
UX2023	UX2023-68	+	1	4/10/2022	1		Kinston	75	163
Parent	GA06493-13LE6	+	2	4/13/2022	0		Kinston	90	166
UX2023	UX2023-20	+	2	4/13/2022	0		Kinston	90	166
UX2023	UX2023-72	+	3	4/9/2022	1		Kinston	85	162
Parent	NC8248-1	+	3	4/1/2022	0		Kinston	85	154
UX2023	UX2023-14	+	4	3/27/2022	1		Kinston	85	149
UX2023	UX2023-95	+	2	4/15/2022	0		Kinston	100	168
UX2023	UX2023-100	+	2	4/14/2022			Kinston	95	167
UX2023	UX2023-81	+	2	4/7/2022			Kinston	90	160
UX2023	UX2023-55	+	2	4/12/2022			Kinston	95	165
UX2023	UX2023-118	+	2	4/10/2022			Kinston	100	163
UX2023	UX2023-117	+	3	4/7/2022			Kinston	95	160
UX2023	UX2023-7	+	2	4/13/2022			Kinston	90	166
Parent	LA09264C-P2	+	4	3/27/2022			Kinston	85	149
UX2023	UX2023-75	+	4	3/28/2022			Kinston	85	150
UX2023	UX2023-63	+	4	4/1/2022			Kinston	85	154
UX2023	UX2023-98	+	3	4/7/2022			Kinston	80	160
UX2023	UX2023-30	+	4	3/28/2022			Kinston	80	150
UX2023	UX2023-11	+	2	4/13/2022			Kinston	80	166
UX2023	UX2023-2	+	2	4/9/2022			Kinston	85	162
UX2023	UX2023-90	+	2	4/12/2022			Kinston	90	165
UX2023	UX2023-53	+	3	4/1/2022			Kinston	85	154
Parent	SS8641	-	2	4/9/2022			Kinston	85	162
UX2023	UX2023-84	+	3	4/7/2022			Kinston	85	160
Parent	GA001138-8E36	+	3	4/9/2022			Kinston	90	162
UX2023	UX2023-96	+	2	4/13/2022			Kinston	85	166
UX2023	UX2023-85	+	2	4/9/2022			Kinston	80	162
Parent	ARGA051160-14LE31	-	3	4/12/2022			Kinston	90	165
UX2023	UX2023-52	+	3	4/8/2022			Kinston	95	161
UX2023	UX2023-82	+	3	4/7/2022			Kinston	100	160
UX2023	UX2023-110	+	3	4/2/2022			Kinston	85	155
UX2023	UX2023-22	+	2	4/14/2022			Kinston	105	167
Parent	NC08-23383	-	2	4/13/2022			Kinston	80	166
UX2023	UX2023-125	+	3	4/6/2022			Kinston	80	159
UX2023	UX2023-50	+	2	4/8/2022			Kinston	90	161
UX2023	UX2023-60	+	1	4/11/2022			Kinston	85	164
UX2023	UX2023-102	+	3	4/9/2022			Kinston	85	162
Parent	Hilliard	+	2	4/12/2022			Kinston	85	165
UX2023	UX2023-3	+	3	4/4/2022			Kinston	85	157
UX2023	UX2023-103	+	3	4/7/2022			Kinston	75	160
UX2023	UX2023-54	+	1	4/17/2022			Kinston	85	170
UX2023	UX2023-6	+	3	4/3/2022			Kinston	95	156
UX2023	UX2023-88	+	2	4/6/2022			Kinston	90	159
UX2023	UX2023-4	+	4	4/2/2022			Kinston	95	155
